Scientific Name,Primary,Class,Order,Family,Genus,Species,Authority,Infrarank,Infrarank Type,Infrarank Authority,Red List Species ID,Modified Year,Category,Criteria
Bathyraja smirnovi,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,smirnovi,"(Soldatov &amp; Pavlenko, 1915)",,,,161612,2009,LC,
Bathyraja smithii,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,smithii,"(Mí_ller &amp; Henle, 1841)",,,,161561,2009,DD,
Bathyraja spinicauda,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,spinicauda,"(Jensen, 1914)",,,,161366,2009,NT,
Bathyraja spinosissima,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,spinosissima,"(Beebe &amp; Tee-Van, 1941)",,,,161486,2015,LC,
Bathyraja trachouros,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,trachouros,"(Ishiyama, 1958)",,,,161701,2009,LC,
Bathyraja trachura,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,trachura,"(Gilbert, 1892)",,,,161375,2015,LC,
Bathyraja tunae,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,tunae,"Stehmann, 2005",,,,161504,2009,DD,
Bathyraja tzinovskii,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,tzinovskii,"Dolganov, 1983",,,,161444,2009,LC,
Bathyraja violacea,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,violacea,"(Suvorov, 1935)",,,,161594,2009,DD,
Benthobatis kreffti,TRUE,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Benthobatis,kreffti,"Rincí_n, Stehmann &amp; Vooren, 2001",,,,44577,2004,VU,B1ab(v)
Benthobatis marcida,TRUE,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Benthobatis,marcida,"Bean &amp; Weed, 1909",,,,161317,2009,LC,
Benthobatis moresbyi,TRUE,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Benthobatis,moresbyi,"Alcock, 1898",,,,161349,2009,DD,
Benthobatis yangi,TRUE,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Benthobatis,yangi,"Carvalho, Compagno &amp; Ebert, 2003",,,,161624,2009,VU,A2d+4d
Beringraja binoculata,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Beringraja,binoculata,"(Girard, 1855)",,,,44183,2005,NT,
Beringraja pulchra,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Beringraja,pulchra,"(Liu, 1932)",,,,161669,2009,VU,A2bcd+3cd+4cd
Brachaelurus colcloughi,TRUE,CHONDRICHTHYES,ORECTOLOBIFORMES,BRACHAELURIDAE,Brachaelurus,colcloughi,"Ogilby, 1908",,,,39335,2015,VU,C2a(ii)
Brachaelurus waddi,TRUE,CHONDRICHTHYES,ORECTOLOBIFORMES,BRACHAELURIDAE,Brachaelurus,waddi,"(Bloch &amp; Schneider, 1801)",,,,41732,2015,LC,
Breviraja claramaculata,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Breviraja,claramaculata,"McEachran &amp; Matheson, 1985",,,,161416,2009,DD,
Breviraja colesi,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Breviraja,colesi,"Bigelow &amp; Schroeder, 1948",,,,161527,2009,DD,
Breviraja nigriventralis,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Breviraja,nigriventralis,"McEachran &amp; Matheson, 1985",,,,161422,2009,DD,
Breviraja spinosa,TRUE,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Breviraja,spinosa,"Bigelow &amp; Schroeder, 1950",,,,161708,2009,DD,
Brochiraja aenigma,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Brochiraja,aenigma,"Last &amp; McEachran, 2006",,,,161688,2009,DD,
Brochiraja albilabiata,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Brochiraja,albilabiata,"Last &amp; McEachran, 2006",,,,161550,2009,DD,
Brochiraja asperula,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Brochiraja,asperula,"(Garrick &amp; Paul, 1974)",,,,161602,2009,DD,
Brochiraja leviveneta,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Brochiraja,leviveneta,"Last &amp; McEachran, 2006",,,,161414,2009,DD,
